POINT,EASTING,NORTHING,ELEVATION
195.3,271289.749,2103967.286,-17.6947
195.4,271289.152,2103967.879,-19.7515
195.5,271287.6816,2103969.325,-20.5891
195.6,271286.2258,2103970.763,-19.7409
195.7,271285.6257,2103971.353,-17.6827
195.8,271286.2363,2103970.753,-15.6371
200.1,271282.7775,2103964.313,-14.8341
200.2,271284.2696,2103962.889,-15.7017
200.3,271284.877,2103962.318,-17.7434
200.4,271284.2725,2103962.918,-19.7995
200.5,271282.7906,2103964.317,-20.6224
200.6,271281.296,2103965.76,-19.7632
200.7,271280.6932,2103966.323,-17.7058
200.8,271281.3024,2103965.732,-15.6769
205.1,271278.0259,2103959.198,-14.8705
205.2,271279.4907,2103957.855,-15.7088
205.3,271280.1346,2103957.275,-17.7656
205.4,271279.5078,2103957.864,-19.8373
205.5,271278.0794,2103959.212,-20.6528
205.6,271276.5043,2103960.634,-19.807
205.7,271275.8804,2103961.2,-17.7271
205.8,271276.5023,2103960.613,-15.6894
210.1,271273.2782,2103954.067,-14.8923
210.2,271274.79,2103952.701,-15.7453
210.3,271275.4211,2103952.134,-17.8052
210.4,271274.7943,2103952.702,-19.8469
210.5,271273.309,2103954.084,-20.6861
210.6,271271.7538,2103955.457,-19.8401
210.7,271271.1274,2103956.03,-17.769
210.8,271271.7642,2103955.442,-15.7237
215.1,271268.5649,2103948.872,-14.9383
215.2,271270.0855,2103947.529,-15.7665
215.3,271270.7457,2103946.954,-17.8207
215.4,271270.1232,2103947.519,-19.8898
215.5,271268.6237,2103948.895,-20.7321
215.6,271267.0695,2103950.241,-19.8962
215.7,271266.42,2103950.815,-17.8323
215.8,271267.0309,2103950.252,-15.7953
220.1,271263.9123,2103943.657,-14.9693
220.2,271265.4316,2103942.326,-15.7954
220.3,271266.0964,2103941.753,-17.8436
220.4,271265.4646,2103942.304,-19.9204
220.5,271263.9595,2103943.651,-20.7615
220.6,271262.3767,2103945.015,-19.9162
220.7,271261.741,2103945.579,-17.8712
220.8,271262.3784,2103945.011,-15.8108
225.1,271259.2444,2103938.424,-15.0023
225.2,271260.7857,2103937.058,-15.8404
225.3,271261.4445,2103936.491,-17.8404
225.4,271260.8283,2103937.047,-19.9294
225.5,271259.3051,2103938.423,-20.7936
225.6,271257.7627,2103939.778,-19.9617
225.7,271257.1147,2103940.355,-17.8884
225.8,271257.7433,2103939.775,-15.8414
230.1,271254.653,2103933.152,-15.0307
230.2,271256.1641,2103931.832,-15.8596
230.3,271256.8247,2103931.263,-17.9321
230.4,271256.202,2103931.806,-19.9542
230.5,271254.6702,2103933.184,-20.8169
230.6,271253.1073,2103934.519,-19.986
230.7,271252.4667,2103935.091,-17.9324
230.8,271253.097,2103934.525,-15.8698
235.1,271249.9958,2103927.909,-15.0649
235.2,271251.5074,2103926.573,-15.8827
235.3,271252.1768,2103925.997,-17.9179
235.4,271251.5624,2103926.563,-19.9978
235.5,271250.0225,2103927.946,-20.8503
235.6,271248.4769,2103929.307,-19.9887
235.7,271247.85,2103929.857,-17.9777
235.8,271248.4638,2103929.29,-15.9151
240.1,271245.3445,2103922.661,-15.0858
240.2,271246.8626,2103921.336,-15.8875
240.3,271247.5446,2103920.751,-17.9236
240.4,271246.9242,2103921.304,-20.0124
240.5,271245.3638,2103922.681,-20.8784
240.6,271243.84,2103924.011,-20.0453
240.7,271243.18,2103924.574,-18.0268
240.8,271243.8004,2103924.02,-15.954
245.1,271240.7255,2103917.43,-15.1031
245.2,271242.2383,2103916.085,-15.9133
245.3,271242.9016,2103915.492,-17.955
245.4,271242.2976,2103916.027,-20.019
245.5,271240.7781,2103917.343,-20.8945
245.6,271239.2299,2103918.744,-20.0855
245.7,271238.5649,2103919.329,-18.0542
245.8,271239.1923,2103918.789,-15.9728
250.1,271236.1088,2103912.139,-15.1384
250.2,271237.6064,2103910.833,-15.9502
250.3,271238.2823,2103910.256,-17.8997
250.4,271237.6742,2103910.811,-20.0563
250.5,271236.1062,2103912.124,-20.9263
250.6,271234.5939,2103913.5,-20.1184
250.7,271233.9227,2103914.069,-18.132
250.8,271234.5599,2103913.497,-15.9664
255.1,271231.4322,2103906.953,-15.1552
255.2,271232.9557,2103905.6,-15.9489
255.3,271233.6364,2103904.992,-17.9772
255.4,271233.0456,2103905.524,-20.0607
255.5,271231.4649,2103906.887,-20.9414
255.6,271229.9698,2103908.243,-20.1393
255.7,271229.2994,2103908.835,-18.1015
255.8,271229.9376,2103908.276,-16.001
260.1,271226.8703,2103901.62,-15.1882
260.2,271228.3155,2103900.315,-15.9908
260.3,271228.9886,2103899.721,-18.0228
260.4,271228.4042,2103900.277,-20.1084
260.5,271226.8234,2103901.545,-20.9826
260.6,271225.3445,2103903.033,-20.1481
260.7,271224.6926,2103903.604,-18.1152
260.8,271225.2925,2103903.047,-16.0637
265.1,271222.2076,2103896.383,-15.2129
265.2,271223.7054,2103895.062,-16.0465
265.3,271224.3612,2103894.502,-18.0427
265.4,271223.7719,2103895.059,-20.1528
265.5,271222.2287,2103896.444,-21.0152
265.6,271220.6942,2103897.782,-20.1777
265.7,271220.0386,2103898.342,-18.1441
265.8,271220.647,2103897.78,-16.0874
270.1,271217.5973,2103891.128,-15.2434
270.2,271219.0299,2103889.837,-16.0445
270.3,271219.7053,2103889.25,-18.0691
270.4,271219.0929,2103889.825,-20.186
270.5,271217.537,2103891.204,-21.0339
270.6,271216.0209,2103892.581,-20.1759
270.7,271215.3934,2103893.122,-18.1813
270.8,271216.0169,2103892.558,-16.1
275.1,271212.8957,2103885.967,-15.2685
275.2,271214.4259,2103884.6,-16.1173
275.3,271215.0612,2103884.036,-18.1046
275.4,271214.4545,2103884.579,-20.1912
275.5,271212.9357,2103885.93,-21.06
275.6,271211.3715,2103887.315,-20.2285
275.7,271210.7358,2103887.877,-18.0402
275.8,271211.3437,2103887.344,-16.1517
280.1,271208.1855,2103880.798,-15.3016
280.2,271209.696,2103879.443,-16.091
280.3,271210.3822,2103878.842,-18.1485
280.4,271209.7964,2103879.378,-20.2141
280.5,271208.1971,2103880.792,-21.104
280.6,271206.7523,2103882.118,-20.2925
280.7,271206.0782,2103882.712,-18.2405
280.8,271206.6859,2103882.153,-16.1714
285.1,271203.4888,2103875.636,-15.3024
285.2,271205.0072,2103874.275,-16.1193
285.3,271205.6675,2103873.674,-18.1531
285.4,271205.0628,2103874.199,-20.2158
285.5,271203.4783,2103875.581,-21.0928
285.6,271201.9409,2103877.005,-20.1998
285.7,271201.3674,2103877.527,-18.5036
285.8,271201.9526,2103877.012,-16.2022
290.1,271198.7257,2103870.485,-15.3123
290.2,271200.2082,2103869.096,-16.1326
290.3,271200.8544,2103868.5,-18.1276
290.4,271200.2731,2103869.044,-20.2216
290.5,271198.7505,2103870.454,-21.1062
290.6,271197.2637,2103871.88,-20.2686
290.7,271196.6377,2103872.464,-18.2715
290.8,271197.2358,2103871.894,-16.1782
295.1,271193.8467,2103865.445,-15.3608
295.2,271195.3387,2103864.009,-16.1673
295.3,271195.9899,2103863.402,-18.1622
295.4,271195.437,2103863.955,-20.2519
295.5,271193.876,2103865.351,-21.1525
295.6,271192.4184,2103866.881,-20.2638
295.7,271191.8364,2103867.43,-18.0974
295.8,271192.419,2103866.843,-16.2236
300.1,271188.9904,2103860.442,-15.3776
300.2,271190.5662,2103858.879,-16.3924
300.3,271191.0569,2103858.387,-18.2387
300.4,271190.465,2103858.961,-20.308
300.5,271188.8742,2103860.459,-21.1586
300.6,271187.5911,2103861.821,-20.3808
300.7,271186.95,2103862.466,-18.2855
300.8,271187.4878,2103861.937,-16.3135
305.1,271184.022,2103855.506,-15.381
305.2,271185.2455,2103854.223,-15.988
305.3,271186.031,2103853.411,-18.2384
305.4,271185.4527,2103854.01,-20.3161
305.5,271184.0334,2103855.493,-21.1782
305.6,271182.6275,2103856.965,-20.3551
305.7,271182.0246,2103857.598,-18.3034
305.8,271182.5221,2103857.077,-16.3704
310.1,271178.9656,2103850.612,-15.425
310.2,271180.3563,2103849.141,-16.2616
310.3,271180.9568,2103848.518,-18.294
310.4,271180.39,2103849.145,-20.3748
310.5,271179.0226,2103850.626,-21.2117
310.6,271177.5869,2103852.118,-20.3796
310.7,271176.987,2103852.74,-18.3096
310.8,271177.5533,2103852.12,-16.2833
315.1,271173.7783,2103845.925,-15.4565
315.2,271175.181,2103844.365,-16.2865
315.3,271175.7633,2103843.724,-18.2406
315.4,271175.2817,2103844.275,-20.2919
315.5,271173.8543,2103845.863,-21.2465
315.6,271172.4772,2103847.394,-20.411
315.7,271171.9,2103848.033,-18.3794
