RING NO.,EASTING,NORTHING,ELEVATION,CHAINAGE,dHz,dVt,R_Average
45.0,271478.73621355963,2104037.359086136,-16.89421608634605,14419.25068273508,-0.05731744269030978,-0.0014924020457556253,2.8973687467398284
50.0,271471.7938176275,2104038.044015484,-16.908959116719274,14412.270556159685,-0.052219947525598505,0.004876308600984203,2.898512052699847
55.0,271464.8107440724,2104038.5096696657,-16.945577622853335,14405.267843020669,-0.03646640742668141,-0.004712436781140639,2.898616402365916
60.0,271457.8160232161,2104038.759680555,-16.968475660667025,14398.263842404573,-0.019023405499325574,-0.0004210068815773127,2.899571513223032
65.0,271450.8173352208,2104038.812684854,-16.996201257091997,14391.259959740368,-0.016864137248522974,-0.0009575982045078035,2.899190176928255
70.0,271443.7993766236,2104038.68089876,-17.03234720870691,14384.235994451272,-0.04342391729527691,-0.00983657680680139,2.8959916168011457
75.0,271436.81145592796,2104038.283279098,-17.071528649269368,14377.23226845891,-0.017745345443723463,-0.021829613104173973,2.896667307789059
80.0,271429.8356835246,2104037.7033614395,-17.080958423084624,14370.22743112573,-0.0223891284532163,-0.0040666784403953216,2.8970788048995324
85.0,271422.8782189885,2104036.937430966,-17.109361396391336,14363.223578862091,-0.053232191936657264,-0.005280757298184113,2.8966132517222514
90.0,271415.95289345697,2104035.924895651,-17.14213776973797,14356.220352382696,-0.04786424342881838,-0.010870665484073783,2.8984340020569603
95.0,271409.06186578237,2104034.7010456454,-17.172742894966248,14349.217288901946,-0.04212258200823303,-0.014289968310713164,2.898935377945566
100.0,271402.2376347936,2104033.2606965713,-17.194036268416014,14342.238131386337,-0.02353994383266955,-0.008490312076460782,2.896449096876007
105.0,271395.4315473368,2104031.6340035787,-17.212193613516604,14335.235704066952,-0.031723140151155044,0.000535705652527696,2.8985622738371872
110.0,271388.6794455029,2104029.7973726555,-17.225454937096657,14328.233779318203,-0.035983982007095315,0.01445579159008048,2.897925775047849
115.0,271381.9926105044,2104027.7469591512,-17.262733575004063,14321.235004358998,-0.02941740794603329,0.004346330424354505,2.897422295488594
120.0,271375.34191896114,2104025.4815742704,-17.280895569733005,14314.204026734385,-0.020555672634232046,0.013478530524377419,2.897259372703732
125.0,271368.78886490373,2104023.0433449377,-17.315843634915538,14307.207532230143,-0.03107842815381257,0.005690797042369411,2.8976606277843926
130.0,271362.2955635171,2104020.404988712,-17.338624846625237,14300.194112969803,-0.04567712309753499,0.010135608767118498,2.8979889010434094
135.0,271355.9041768503,2104017.5519093755,-17.366504354639133,14293.190489444978,-0.03639076231616742,0.009444107240355493,2.897443009506925
140.0,271349.598031438,2104014.515138675,-17.397185937428958,14286.1867216798,-0.03776199706267096,0.005951090877275078,2.898508410369862
145.0,271343.38751379005,2104011.2843874297,-17.42830095399661,14279.181542922948,-0.035706021293079,0.002030108191934943,2.897988402176176
150.0,271337.3009009579,2104007.879895211,-17.439946481273466,14272.203139556961,-0.03495040136490722,0.017474682997807633,2.8972409179043166
155.0,271331.3026753178,2104004.2752295057,-17.468611938021155,14265.200657001378,-0.028947907224332096,0.01599280350606236,2.8988170463536935
160.0,271325.4153132854,2104000.486042611,-17.499550883298497,14258.194132070768,-0.020342142431799066,0.012253126002779169,2.8987500755366895
165.0,271319.63624291786,2103996.5348687614,-17.515774688188742,14251.188774252132,-0.030481066585585897,0.023224052052224664,2.8987106139594934
170.0,271313.95447641733,2103992.4098312976,-17.550287277247534,14244.162985705874,-0.05607261677692888,0.01598551387212055,2.894333778596649
175.0,271308.4250407315,2103988.1167364395,-17.581270993806157,14237.15885030738,-0.06968576483390569,0.012191790889097831,2.8984558268090694
180.0,271303.0362936831,2103983.645157366,-17.599800658519,14230.153039271228,-0.06948311707635255,0.020858614560484767,2.898968787981326
185.0,271297.79701262084,2103979.0047763768,-17.625891374380714,14223.150928084244,-0.049457432302517305,0.02426497396643157,2.898546738927018
190.0,271292.6797010258,2103974.225904082,-17.658118251717127,14216.145762493947,-0.032319928698062675,0.025982517169328645,2.897776346045509
195.0,271287.6892206485,2103969.319752171,-17.69556935888032,14209.144711122239,-0.01207571030002486,0.02245589456442687,2.8982579514322184
200.0,271282.7853023214,2103964.3208171916,-17.732560517141223,14202.139811459258,-0.014692087567242431,0.01940786825745633,2.897910576885284
205.0,271278.0064656419,2103959.2398701548,-17.763701591049042,14195.163784918177,0.007114381222387022,0.022070019475741276,2.8959745802508383
210.0,271273.2748857747,2103954.0815350274,-17.791632143381932,14188.162867597097,0.02200461988329699,0.02806331050354771,2.898893376713241
215.0,271268.5833045221,2103948.884286539,-17.835908199173204,14181.160564266083,0.024257965678539148,0.017717805802131892,2.899249779138736
220.0,271263.9180361997,2103943.663780089,-17.86848545868554,14174.159485140479,0.020091759189540852,0.01906516533319902,2.8988001014275557
225.0,271259.27653239557,2103938.42070827,-17.89890358006261,14167.156825552669,0.02385569695444302,0.019306434710188114,2.8984877536556635
230.0,271254.6427660321,2103933.1762041855,-17.92484668837713,14160.158517650514,0.022015077884257193,0.020530687688751215,2.8986661116284718
235.0,271250.01155403134,2103927.9261457776,-17.957965502184308,14153.157792014057,0.02592237753524955,0.014588630795039137,2.897440812538733
240.0,271245.36301724636,2103922.6624255213,-17.982290655166793,14146.135303905874,0.025723817082171196,0.017524716423643838,2.8984533249401716
245.0,271240.73483088275,2103917.4103618753,-18.001595250371068,14139.135023353423,0.033058428737499354,0.025395148970943637,2.896808763087825
250.0,271236.09821544716,2103912.1611284837,-18.032812720077672,14132.131353514967,0.03227537338749503,0.021365856890760426,2.897275650595927
255.0,271231.4690580569,2103906.9125471674,-18.051738832149027,14125.133041385043,0.03657768854195265,0.029607132524652968,2.896766795215303
260.0,271226.83396260196,2103901.6520095924,-18.086958952375326,14118.121905096657,0.044405085606650296,0.021604183258499887,2.8976769430679967
265.0,271222.2049153928,2103896.4209444453,-18.11728776861935,14111.136485416884,0.03816860431203991,0.018177560333924703,2.8975976609922687
270.0,271217.55054842803,2103891.1869127573,-18.140690515562184,14104.132192083925,0.037229655589584035,0.01575038896546843,2.8985500440485046
275.0,271212.89891242224,2103885.9596315394,-18.167753008577733,14097.13501670167,0.05071331241488138,0.00955341296805301,2.8971039790964657
280.0,271208.2297150724,2103880.7722903374,-18.20308862527905,14090.15627462765,0.057299568841935135,-0.004971656218703657,2.898054657515878
